STATUS | wrapper  | 2021/07/23 15:42:33 | --> Wrapper Started as Daemon
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.channel.nio.NioEventLoop - -Dio.netty.selectorAutoRebuildThreshold: 512
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.internal.PlatformDependent - org.jctools-core.MpscChunkedArrayQueue: available
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.resolver.dns.DefaultDnsServerAddressStreamProvider - Default DNS servers: [/202.106.196.115:53, /114.114.114.114:53] (sun.net.dns.ResolverConfiguration)
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.NetUtil - -Djava.net.preferIPv4Stack: false
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.NetUtil - -Djava.net.preferIPv6Addresses: false
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.NetUtil - Loopback interface: lo0 (lo0, 0:0:0:0:0:0:0:1%lo0)
INFO   | jvm 1    | 2021/07/23 15:42:48 | [WrapperSimpleAppMain] DEBUG io.netty.util.NetUtil - Failed to get SOMAXCONN from sysctl and file /proc/sys/net/core/somaxconn. Default: 128
INFO   | jvm 1    | 2021/07/23 15:42:49 | 
INFO   | jvm 1    | 2021/07/23 15:42:49 | WrapperSimpleApp: Encountered an error running main: com.alibaba.fastjson.JSONException: syntax error, expect {, actual string, pos 2731, fieldName targetName, fastjson-version 1.2.62
INFO   | jvm 1    | 2021/07/23 15:42:49 | com.alibaba.fastjson.JSONException: syntax error, expect {, actual string, pos 2731, fieldName targetName, fastjson-version 1.2.62
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.parser.deserializer.JavaBeanDeserializer.deserialze(JavaBeanDeserializer.java:505)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.parser.deserializer.JavaBeanDeserializer.parseRest(JavaBeanDeserializer.java:1555)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.parser.deserializer.FastjsonASMDeserializer_11_ShardingTableConfig.deserialze(Unknown Source)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.parser.deserializer.JavaBeanDeserializer.deserialze(JavaBeanDeserializer.java:284)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.parser.DefaultJSONParser.parseObject(DefaultJSONParser.java:687)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.parser.deserializer.MapDeserializer.parseMap(MapDeserializer.java:198)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.parser.deserializer.MapDeserializer.deserialze(MapDeserializer.java:65)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.parser.deserializer.MapDeserializer.deserialze(MapDeserializer.java:43)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.parser.deserializer.FastjsonASMDeserializer_8_LogicSchemaConfig.deserialze(Unknown Source)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.parser.deserializer.JavaBeanDeserializer.deserialze(JavaBeanDeserializer.java:284)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.parser.DefaultJSONParser.parseObject(DefaultJSONParser.java:687)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.JSON.parseObject(JSON.java:383)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.JSON.parseObject(JSON.java:287)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at com.alibaba.fastjson.JSON.parseObject(JSON.java:560)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at io.mycat.util.JsonUtil.from(JsonUtil.java:50)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at io.mycat.configreaderwriter.JsonConfigReaderWriter.transformation(JsonConfigReaderWriter.java:17)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at io.mycat.config.FileMetadataStorageManager.lambda$getRouterConfig$6(FileMetadataStorageManager.java:124)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at java.util.stream.ReferencePipeline$2$1.accept(ReferencePipeline.java:175)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at java.util.Iterator.forEachRemaining(Iterator.java:116)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at java.util.Spliterators$IteratorSpliterator.forEachRemaining(Spliterators.java:1801)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:481)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:471)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at java.util.stream.ReduceOps$ReduceOp.evaluateSequential(ReduceOps.java:708)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at java.util.stream.ReferencePipeline.collect(ReferencePipeline.java:499)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at io.mycat.config.FileMetadataStorageManager.getRouterConfig(FileMetadataStorageManager.java:126)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at io.mycat.config.FileMetadataStorageManager.loadFromLocalFile(FileMetadataStorageManager.java:359)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at io.mycat.config.FileMetadataStorageManager.start(FileMetadataStorageManager.java:204)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at io.mycat.MycatCore.start(MycatCore.java:217)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at io.mycat.MycatCore.main(MycatCore.java:230)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at java.lang.reflect.Method.invoke(Method.java:498)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2021/07/23 15:42:49 | 	at java.lang.Thread.run(Thread.java:748)
STATUS | wrapper  | 2021/07/23 15:42:51 | <-- Wrapper Stopped
